year,country,country_code,indicator,value,source,notes,z,z,z
2004,Bulgaria,BGR,GDP per capita (current billions US$),3389.7,https://www.worldbank.org/ext/en/home,,,,
2004,Bosnia and Herzegovina,BIH,GDP per capita (current billions US$),2452.7,https://www.worldbank.org/ext/en/home,,,,
2004,Euro area,EMU,GDP per capita (current billions US$),30816.5,https://www.worldbank.org/ext/en/home,,,,
2004,Croatia,HRV,GDP per capita (current billions US$),9719,https://www.worldbank.org/ext/en/home,,,,
2004,North Macedonia,MKD,GDP per capita (current billions US$),2818.6,https://www.worldbank.org/ext/en/home,,,,
2004,Montenegro,MNE,GDP per capita (current billions US$),3380.2,https://www.worldbank.org/ext/en/home,,,,
2004,Serbia,SRB,GDP per capita (current billions US$),3597.1,https://www.worldbank.org/ext/en/home,,,,
2004,Slovenia,SVN,GDP per capita (current billions US$),17103.8,https://www.worldbank.org/ext/en/home,,,,
2004,World,WLD,GDP per capita (current billions US$),6800.2,https://www.worldbank.org/ext/en/home,,,,
2005,Albania,ALB,GDP per capita (current billions US$),2673.8,https://www.worldbank.org/ext/en/home,,,,
2005,Bulgaria,BGR,GDP per capita (current billions US$),3899.8,https://www.worldbank.org/ext/en/home,,,,
2005,Bosnia and Herzegovina,BIH,GDP per capita (current billions US$),2739.6,https://www.worldbank.org/ext/en/home,,,,
2005,Euro area,EMU,GDP per capita (current billions US$),31800.4,https://www.worldbank.org/ext/en/home,,,,
2005,Croatia,HRV,GDP per capita (current billions US$),10443.5,https://www.worldbank.org/ext/en/home,,,,
2005,North Macedonia,MKD,GDP per capita (current billions US$),3121,https://www.worldbank.org/ext/en/home,,,,
2005,Montenegro,MNE,GDP per capita (current billions US$),3674.6,https://www.worldbank.org/ext/en/home,,,,
2005,Serbia,SRB,GDP per capita (current billions US$),3808,https://www.worldbank.org/ext/en/home,,,,
2005,Slovenia,SVN,GDP per capita (current billions US$),17969.7,https://www.worldbank.org/ext/en/home,,,,
2005,World,WLD,GDP per capita (current billions US$),7271,https://www.worldbank.org/ext/en/home,,,,
2006,Albania,ALB,GDP per capita (current billions US$),2972.7,https://www.worldbank.org/ext/en/home,,,,
2006,Bulgaria,BGR,GDP per capita (current billions US$),4523.1,https://www.worldbank.org/ext/en/home,,,,
2006,Bosnia and Herzegovina,BIH,GDP per capita (current billions US$),3166.1,https://www.worldbank.org/ext/en/home,,,,
2006,Euro area,EMU,GDP per capita (current billions US$),33671.9,https://www.worldbank.org/ext/en/home,,,,
2006,Croatia,HRV,GDP per capita (current billions US$),11502.8,https://www.worldbank.org/ext/en/home,,,,
2006,North Macedonia,MKD,GDP per capita (current billions US$),3440.4,https://www.worldbank.org/ext/en/home,,,,
2006,Montenegro,MNE,GDP per capita (current billions US$),4425.7,https://www.worldbank.org/ext/en/home,,,,
2006,Serbia,SRB,GDP per capita (current billions US$),4492.7,https://www.worldbank.org/ext/en/home,,,,
2006,Slovenia,SVN,GDP per capita (current billions US$),19563,https://www.worldbank.org/ext/en/home,,,,
2006,World,WLD,GDP per capita (current billions US$),7780.4,https://www.worldbank.org/ext/en/home,,,,
2007,Albania,ALB,GDP per capita (current billions US$),3595,https://www.worldbank.org/ext/en/home,,,,
2007,Bulgaria,BGR,GDP per capita (current billions US$),5888.8,https://www.worldbank.org/ext/en/home,,,,
2007,Bosnia and Herzegovina,BIH,GDP per capita (current billions US$),3931.5,https://www.worldbank.org/ext/en/home,,,,
2007,Euro area,EMU,GDP per capita (current billions US$),38580.6,https://www.worldbank.org/ext/en/home,,,,
2007,Croatia,HRV,GDP per capita (current billions US$),13757.6,https://www.worldbank.org/ext/en/home,,,,
2007,North Macedonia,MKD,GDP per capita (current billions US$),4204.1,https://www.worldbank.org/ext/en/home,,,,
2007,Montenegro,MNE,GDP per capita (current billions US$),5976.4,https://www.worldbank.org/ext/en/home,,,,
2007,Serbia,SRB,GDP per capita (current billions US$),6081.1,https://www.worldbank.org/ext/en/home,,,,
2007,Slovenia,SVN,GDP per capita (current billions US$),23725.2,https://www.worldbank.org/ext/en/home,,,,
2007,World,WLD,GDP per capita (current billions US$),8657.7,https://www.worldbank.org/ext/en/home,,,,
2008,Albania,ALB,GDP per capita (current billions US$),4370.5,https://www.worldbank.org/ext/en/home,,,,
2008,Bulgaria,BGR,GDP per capita (current billions US$),7271.3,https://www.worldbank.org/ext/en/home,,,,
2008,Bosnia and Herzegovina,BIH,GDP per capita (current billions US$),4841.7,https://www.worldbank.org/ext/en/home,,,,
2008,Euro area,EMU,GDP per capita (current billions US$),42222.6,https://www.worldbank.org/ext/en/home,,,,
2008,Croatia,HRV,GDP per capita (current billions US$),15889.4,https://www.worldbank.org/ext/en/home,,,,
2008,North Macedonia,MKD,GDP per capita (current billions US$),5026.4,https://www.worldbank.org/ext/en/home,,,,
2008,Montenegro,MNE,GDP per capita (current billions US$),7367.8,https://www.worldbank.org/ext/en/home,,,,
2008,Serbia,SRB,GDP per capita (current billions US$),7376.7,https://www.worldbank.org/ext/en/home,,,,
2008,Slovenia,SVN,GDP per capita (current billions US$),27462,https://www.worldbank.org/ext/en/home,,,,
2008,World,WLD,GDP per capita (current billions US$),9392.5,https://www.worldbank.org/ext/en/home,,,,
2009,Albania,ALB,GDP per capita (current billions US$),4114.1,https://www.worldbank.org/ext/en/home,,,,
2009,Bulgaria,BGR,GDP per capita (current billions US$),6988.3,https://www.worldbank.org/ext/en/home,,,,
2009,Bosnia and Herzegovina,BIH,GDP per capita (current billions US$),4539.9,https://www.worldbank.org/ext/en/home,,,,
2009,Euro area,EMU,GDP per capita (current billions US$),38520,https://www.worldbank.org/ext/en/home,,,,
2009,Croatia,HRV,GDP per capita (current billions US$),14476,https://www.worldbank.org/ext/en/home,,,,
2009,North Macedonia,MKD,GDP per capita (current billions US$),4799.8,https://www.worldbank.org/ext/en/home,,,,
2009,Montenegro,MNE,GDP per capita (current billions US$),6727.1,https://www.worldbank.org/ext/en/home,,,,
2009,Serbia,SRB,GDP per capita (current billions US$),6414,https://www.worldbank.org/ext/en/home,,,,
2009,Slovenia,SVN,GDP per capita (current billions US$),24501.8,https://www.worldbank.org/ext/en/home,,,,
2009,World,WLD,GDP per capita (current billions US$),8793.1,https://www.worldbank.org/ext/en/home,,,,
2010,Albania,ALB,GDP per capita (current billions US$),4094.3,https://www.worldbank.org/ext/en/home,,,,
2010,Bulgaria,BGR,GDP per capita (current billions US$),6863.7,https://www.worldbank.org/ext/en/home,,,,
2010,Bosnia and Herzegovina,BIH,GDP per capita (current billions US$),4506.5,https://www.worldbank.org/ext/en/home,,,,
2010,Euro area,EMU,GDP per capita (current billions US$),37555.2,https://www.worldbank.org/ext/en/home,,,,
2010,Croatia,HRV,GDP per capita (current billions US$),13731.3,https://www.worldbank.org/ext/en/home,,,,
2010,North Macedonia,MKD,GDP per capita (current billions US$),4833.4,https://www.worldbank.org/ext/en/home,,,,
2010,Montenegro,MNE,GDP per capita (current billions US$),6688.4,https://www.worldbank.org/ext/en/home,,,,
2010,Serbia,SRB,GDP per capita (current billions US$),5970.9,https://www.worldbank.org/ext/en/home,,,,
2010,Slovenia,SVN,GDP per capita (current billions US$),23329.8,https://www.worldbank.org/ext/en/home,,,,
2010,World,WLD,GDP per capita (current billions US$),9514.8,https://www.worldbank.org/ext/en/home,,,,
2011,Albania,ALB,GDP per capita (current billions US$),4437.1,https://www.worldbank.org/ext/en/home,,,,
2011,Bulgaria,BGR,GDP per capita (current billions US$),7857.2,https://www.worldbank.org/ext/en/home,,,,
2011,Bosnia and Herzegovina,BIH,GDP per capita (current billions US$),4982.7,https://www.worldbank.org/ext/en/home,,,,
2011,Euro area,EMU,GDP per capita (current billions US$),40651.7,https://www.worldbank.org/ext/en/home,,,,
2011,Croatia,HRV,GDP per capita (current billions US$),14695,https://www.worldbank.org/ext/en/home,,,,
2011,North Macedonia,MKD,GDP per capita (current billions US$),5416.9,https://www.worldbank.org/ext/en/home,,,,
2011,Montenegro,MNE,GDP per capita (current billions US$),7328.8,https://www.worldbank.org/ext/en/home,,,,
2011,Serbia,SRB,GDP per capita (current billions US$),7082.3,https://www.worldbank.org/ext/en/home,,,,
2011,Slovenia,SVN,GDP per capita (current billions US$),24940.6,https://www.worldbank.org/ext/en/home,,,,
2011,World,WLD,GDP per capita (current billions US$),10454.2,https://www.worldbank.org/ext/en/home,,,,
2012,Albania,ALB,GDP per capita (current billions US$),4247.6,https://www.worldbank.org/ext/en/home,,,,
2012,Bulgaria,BGR,GDP per capita (current billions US$),7430.7,https://www.worldbank.org/ext/en/home,,,,
2012,Bosnia and Herzegovina,BIH,GDP per capita (current billions US$),4693.8,https://www.worldbank.org/ext/en/home,,,,
2012,Euro area,EMU,GDP per capita (current billions US$),37558.5,https://www.worldbank.org/ext/en/home,,,,
2012,Croatia,HRV,GDP per capita (current billions US$),13508.7,https://www.worldbank.org/ext/en/home,,,,
2012,North Macedonia,MKD,GDP per capita (current billions US$),5049.8,https://www.worldbank.org/ext/en/home,,,,
2012,Montenegro,MNE,GDP per capita (current billions US$),6586.4,https://www.worldbank.org/ext/en/home,,,,
2012,Serbia,SRB,GDP per capita (current billions US$),6263,https://www.worldbank.org/ext/en/home,,,,
2012,Slovenia,SVN,GDP per capita (current billions US$),22442.1,https://www.worldbank.org/ext/en/home,,,,
2012,World,WLD,GDP per capita (current billions US$),10550.1,https://www.worldbank.org/ext/en/home,,,,
2013,Albania,ALB,GDP per capita (current billions US$),4413.1,https://www.worldbank.org/ext/en/home,,,,
2013,Bulgaria,BGR,GDP per capita (current billions US$),7687.7,https://www.worldbank.org/ext/en/home,,,,
2013,Bosnia and Herzegovina,BIH,GDP per capita (current billions US$),5034.6,https://www.worldbank.org/ext/en/home,,,,
2013,Euro area,EMU,GDP per capita (current billions US$),39109.2,https://www.worldbank.org/ext/en/home,,,,
2013,Croatia,HRV,GDP per capita (current billions US$),14136.4,https://www.worldbank.org/ext/en/home,,,,
2013,North Macedonia,MKD,GDP per capita (current billions US$),5626.3,https://www.worldbank.org/ext/en/home,,,,
2013,Montenegro,MNE,GDP per capita (current billions US$),7188.9,https://www.worldbank.org/ext/en/home,,,,
2013,Serbia,SRB,GDP per capita (current billions US$),7040.4,https://www.worldbank.org/ext/en/home,,,,
2013,Slovenia,SVN,GDP per capita (current billions US$),23237,https://www.worldbank.org/ext/en/home,,,,
2013,World,WLD,GDP per capita (current billions US$),10718.5,https://www.worldbank.org/ext/en/home,,,,
2014,Albania,ALB,GDP per capita (current billions US$),4578.6,https://www.worldbank.org/ext/en/home,,,,
2014,Bulgaria,BGR,GDP per capita (current billions US$),7912.3,https://www.worldbank.org/ext/en/home,,,,
2014,Bosnia and Herzegovina,BIH,GDP per capita (current billions US$),5206.1,https://www.worldbank.org/ext/en/home,,,,
2014,Euro area,EMU,GDP per capita (current billions US$),39926.3,https://www.worldbank.org/ext/en/home,,,,
2014,Croatia,HRV,GDP per capita (current billions US$),14188,https://www.worldbank.org/ext/en/home,,,,
2014,North Macedonia,MKD,GDP per capita (current billions US$),5925.4,https://www.worldbank.org/ext/en/home,,,,
2014,Montenegro,MNE,GDP per capita (current billions US$),7387.9,https://www.worldbank.org/ext/en/home,,,,
2014,Serbia,SRB,GDP per capita (current billions US$),6886.7,https://www.worldbank.org/ext/en/home,,,,
2014,Slovenia,SVN,GDP per capita (current billions US$),24013.1,https://www.worldbank.org/ext/en/home,,,,
2014,World,WLD,GDP per capita (current billions US$),10881.3,https://www.worldbank.org/ext/en/home,,,,
2015,Albania,ALB,GDP per capita (current billions US$),3952.8,https://www.worldbank.org/ext/en/home,,,,
2015,Bulgaria,BGR,GDP per capita (current billions US$),7078.9,https://www.worldbank.org/ext/en/home,,,,
2015,Bosnia and Herzegovina,BIH,GDP per capita (current billions US$),4662.3,https://www.worldbank.org/ext/en/home,,,,
2015,Euro area,EMU,GDP per capita (current billions US$),34415.6,https://www.worldbank.org/ext/en/home,,,,
2015,Croatia,HRV,GDP per capita (current billions US$),12285.3,https://www.worldbank.org/ext/en/home,,,,
2015,North Macedonia,MKD,GDP per capita (current billions US$),5262.7,https://www.worldbank.org/ext/en/home,,,,
2015,Montenegro,MNE,GDP per capita (current billions US$),6517.2,https://www.worldbank.org/ext/en/home,,,,
2015,Serbia,SRB,GDP per capita (current billions US$),5820.3,https://www.worldbank.org/ext/en/home,,,,
2015,Slovenia,SVN,GDP per capita (current billions US$),20697.3,https://www.worldbank.org/ext/en/home,,,,
2015,World,WLD,GDP per capita (current billions US$),10142.1,https://www.worldbank.org/ext/en/home,,,,
2016,Albania,ALB,GDP per capita (current billions US$),4124.1,https://www.worldbank.org/ext/en/home,,,,
2016,Bulgaria,BGR,GDP per capita (current billions US$),7570.9,https://www.worldbank.org/ext/en/home,,,,
2016,Bosnia and Herzegovina,BIH,GDP per capita (current billions US$),4928.6,https://www.worldbank.org/ext/en/home,,,,
2016,Euro area,EMU,GDP per capita (current billions US$),35178.9,https://www.worldbank.org/ext/en/home,,,,
2016,Croatia,HRV,GDP per capita (current billions US$),12821.2,https://www.worldbank.org/ext/en/home,,,,
2016,North Macedonia,MKD,GDP per capita (current billions US$),5598.5,https://www.worldbank.org/ext/en/home,,,,
2016,Montenegro,MNE,GDP per capita (current billions US$),7033.4,https://www.worldbank.org/ext/en/home,,,,
2016,Serbia,SRB,GDP per capita (current billions US$),5982.4,https://www.worldbank.org/ext/en/home,,,,
2016,Slovenia,SVN,GDP per capita (current billions US$),21447.8,https://www.worldbank.org/ext/en/home,,,,
2016,World,WLD,GDP per capita (current billions US$),10188.3,https://www.worldbank.org/ext/en/home,,,,
2017,Albania,ALB,GDP per capita (current billions US$),4531,https://www.worldbank.org/ext/en/home,,,,
2017,Bulgaria,BGR,GDP per capita (current billions US$),8381.9,https://www.worldbank.org/ext/en/home,,,,
2017,Bosnia and Herzegovina,BIH,GDP per capita (current billions US$),5345,https://www.worldbank.org/ext/en/home,,,,
2017,Euro area,EMU,GDP per capita (current billions US$),37181.1,https://www.worldbank.org/ext/en/home,,,,
2017,Croatia,HRV,GDP per capita (current billions US$),13902.6,https://www.worldbank.org/ext/en/home,,,,
2017,North Macedonia,MKD,GDP per capita (current billions US$),5955.3,https://www.worldbank.org/ext/en/home,,,,
2017,Montenegro,MNE,GDP per capita (current billions US$),7803.4,https://www.worldbank.org/ext/en/home,,,,
2017,Serbia,SRB,GDP per capita (current billions US$),6548,https://www.worldbank.org/ext/en/home,,,,
2017,Slovenia,SVN,GDP per capita (current billions US$),23303.1,https://www.worldbank.org/ext/en/home,,,,
2017,World,WLD,GDP per capita (current billions US$),10731.7,https://www.worldbank.org/ext/en/home,,,,
2018,Albania,ALB,GDP per capita (current billions US$),5365.5,https://www.worldbank.org/ext/en/home,,,,
2018,Bulgaria,BGR,GDP per capita (current billions US$),9436.1,https://www.worldbank.org/ext/en/home,,,,
2018,Bosnia and Herzegovina,BIH,GDP per capita (current billions US$),6047.8,https://www.worldbank.org/ext/en/home,,,,
2018,Euro area,EMU,GDP per capita (current billions US$),40068.5,https://www.worldbank.org/ext/en/home,,,,
2018,Croatia,HRV,GDP per capita (current billions US$),15460.4,https://www.worldbank.org/ext/en/home,,,,
2018,North Macedonia,MKD,GDP per capita (current billions US$),6714,https://www.worldbank.org/ext/en/home,,,,
2018,Montenegro,MNE,GDP per capita (current billions US$),8850.4,https://www.worldbank.org/ext/en/home,,,,
2018,Serbia,SRB,GDP per capita (current billions US$),7559.9,https://www.worldbank.org/ext/en/home,,,,
2018,Slovenia,SVN,GDP per capita (current billions US$),25888,https://www.worldbank.org/ext/en/home,,,,
2018,World,WLD,GDP per capita (current billions US$),11288.9,https://www.worldbank.org/ext/en/home,,,,
2019,Albania,ALB,GDP per capita (current billions US$),5460.4,https://www.worldbank.org/ext/en/home,,,,
2019,Bulgaria,BGR,GDP per capita (current billions US$),9838.6,https://www.worldbank.org/ext/en/home,,,,
2019,Bosnia and Herzegovina,BIH,GDP per capita (current billions US$),6122.4,https://www.worldbank.org/ext/en/home,,,,
2019,Euro area,EMU,GDP per capita (current billions US$),39217.4,https://www.worldbank.org/ext/en/home,,,,
2019,Croatia,HRV,GDP per capita (current billions US$),15563.8,https://www.worldbank.org/ext/en/home,,,,
2019,North Macedonia,MKD,GDP per capita (current billions US$),6718.9,https://www.worldbank.org/ext/en/home,,,,
2019,Montenegro,MNE,GDP per capita (current billions US$),8909.7,https://www.worldbank.org/ext/en/home,,,,
2019,Serbia,SRB,GDP per capita (current billions US$),7755.6,https://www.worldbank.org/ext/en/home,,,,
2019,Slovenia,SVN,GDP per capita (current billions US$),25814.2,https://www.worldbank.org/ext/en/home,,,,
2019,World,WLD,GDP per capita (current billions US$),11334.8,https://www.worldbank.org/ext/en/home,,,,
2020,Albania,ALB,GDP per capita (current billions US$),5370.8,https://www.worldbank.org/ext/en/home,,,,
2020,Bulgaria,BGR,GDP per capita (current billions US$),10198.5,https://www.worldbank.org/ext/en/home,,,,
2020,Bosnia and Herzegovina,BIH,GDP per capita (current billions US$),6130.3,https://www.worldbank.org/ext/en/home,,,,
2020,Euro area,EMU,GDP per capita (current billions US$),38241.6,https://www.worldbank.org/ext/en/home,,,,
2020,Croatia,HRV,GDP per capita (current billions US$),14808.5,https://www.worldbank.org/ext/en/home,,,,
2020,North Macedonia,MKD,GDP per capita (current billions US$),6659.6,https://www.worldbank.org/ext/en/home,,,,
2020,Montenegro,MNE,GDP per capita (current billions US$),7677.4,https://www.worldbank.org/ext/en/home,,,,
2020,Serbia,SRB,GDP per capita (current billions US$),8098.7,https://www.worldbank.org/ext/en/home,,,,
2020,Slovenia,SVN,GDP per capita (current billions US$),25392.1,https://www.worldbank.org/ext/en/home,,,,
2020,World,WLD,GDP per capita (current billions US$),10916.7,https://www.worldbank.org/ext/en/home,,,,
2021,Albania,ALB,GDP per capita (current billions US$),6413.3,https://www.worldbank.org/ext/en/home,,,,
2021,Bulgaria,BGR,GDP per capita (current billions US$),12274.1,https://www.worldbank.org/ext/en/home,,,,
2021,Bosnia and Herzegovina,BIH,GDP per capita (current billions US$),7295.3,https://www.worldbank.org/ext/en/home,,,,
2021,Euro area,EMU,GDP per capita (current billions US$),42978.9,https://www.worldbank.org/ext/en/home,,,,
2021,Croatia,HRV,GDP per capita (current billions US$),17789.9,https://www.worldbank.org/ext/en/home,,,,
2021,North Macedonia,MKD,GDP per capita (current billions US$),7620.8,https://www.worldbank.org/ext/en/home,,,,
2021,Montenegro,MNE,GDP per capita (current billions US$),9466,https://www.worldbank.org/ext/en/home,,,,
2021,Serbia,SRB,GDP per capita (current billions US$),9680.5,https://www.worldbank.org/ext/en/home,,,,
2021,Slovenia,SVN,GDP per capita (current billions US$),29187.4,https://www.worldbank.org/ext/en/home,,,,
2021,World,WLD,GDP per capita (current billions US$),12352.7,https://www.worldbank.org/ext/en/home,,,,
2022,Albania,ALB,GDP per capita (current billions US$),6846.4,https://www.worldbank.org/ext/en/home,,,,
2022,Bulgaria,BGR,GDP per capita (current billions US$),13644.2,https://www.worldbank.org/ext/en/home,,,,
2022,Bosnia and Herzegovina,BIH,GDP per capita (current billions US$),7655.6,https://www.worldbank.org/ext/en/home,,,,
2022,Euro area,EMU,GDP per capita (current billions US$),41454.2,https://www.worldbank.org/ext/en/home,,,,
2022,Croatia,HRV,GDP per capita (current billions US$),18466.1,https://www.worldbank.org/ext/en/home,,,,
2022,North Macedonia,MKD,GDP per capita (current billions US$),7606.2,https://www.worldbank.org/ext/en/home,,,,
2022,Montenegro,MNE,GDP per capita (current billions US$),10093.4,https://www.worldbank.org/ext/en/home,,,,
2022,Serbia,SRB,GDP per capita (current billions US$),10023,https://www.worldbank.org/ext/en/home,,,,
2022,Slovenia,SVN,GDP per capita (current billions US$),28373.8,https://www.worldbank.org/ext/en/home,,,,
2022,World,WLD,GDP per capita (current billions US$),12737.3,https://www.worldbank.org/ext/en/home,,,,
2023,Albania,ALB,GDP per capita (current billions US$),8575.2,https://www.worldbank.org/ext/en/home,,,,
2023,Bulgaria,BGR,GDP per capita (current billions US$),15885.5,https://www.worldbank.org/ext/en/home,,,,
2023,Bosnia and Herzegovina,BIH,GDP per capita (current billions US$),8638.7,https://www.worldbank.org/ext/en/home,,,,
2023,Euro area,EMU,GDP per capita (current billions US$),45130.1,https://www.worldbank.org/ext/en/home,,,,
2023,Croatia,HRV,GDP per capita (current billions US$),21865.5,https://www.worldbank.org/ext/en/home,,,,
2023,North Macedonia,MKD,GDP per capita (current billions US$),8624.3,https://www.worldbank.org/ext/en/home,,,,
2023,Montenegro,MNE,GDP per capita (current billions US$),12221.5,https://www.worldbank.org/ext/en/home,,,,
2023,Serbia,SRB,GDP per capita (current billions US$),12281.5,https://www.worldbank.org/ext/en/home,,,,
2023,Slovenia,SVN,GDP per capita (current billions US$),32610.1,https://www.worldbank.org/ext/en/home,,,,
2023,World,WLD,GDP per capita (current billions US$),13169.6,https://www.worldbank.org/ext/en/home,,,,
2000,Albania,ALB,GDP (current US$),3480355258,https://www.worldbank.org/ext/en/home,,,,
2000,Bulgaria,BGR,GDP (current US$),13245990274,https://www.worldbank.org/ext/en/home,,,,
2000,Bosnia and Herzegovina,BIH,GDP (current US$),5567772769,https://www.worldbank.org/ext/en/home,,,,
2000,Euro area,EMU,GDP (current US$),6.52863E+12,https://www.worldbank.org/ext/en/home,,,,
2000,Croatia,HRV,GDP (current US$),22134411297,https://www.worldbank.org/ext/en/home,,,,
2000,North Macedonia,MKD,GDP (current US$),3772859034,https://www.worldbank.org/ext/en/home,,,,
2000,Montenegro,MNE,GDP (current US$),984293043.8,https://www.worldbank.org/ext/en/home,,,,
2000,Serbia,SRB,GDP (current US$),7326373882,https://www.worldbank.org/ext/en/home,,,,
2000,Slovenia,SVN,GDP (current US$),20159190702,https://www.worldbank.org/ext/en/home,,,,
2001,Albania,ALB,GDP (current US$),3922100794,https://www.worldbank.org/ext/en/home,,,,
2001,Bulgaria,BGR,GDP (current US$),14183446026,https://www.worldbank.org/ext/en/home,,,,
2001,Bosnia and Herzegovina,BIH,GDP (current US$),5800615466,https://www.worldbank.org/ext/en/home,,,,
2001,Euro area,EMU,GDP (current US$),6.6319E+12,https://www.worldbank.org/ext/en/home,,,,
2001,Croatia,HRV,GDP (current US$),23066883850,https://www.worldbank.org/ext/en/home,,,,
2001,North Macedonia,MKD,GDP (current US$),3709636031,https://www.worldbank.org/ext/en/home,,,,
2001,Montenegro,MNE,GDP (current US$),1159869246,https://www.worldbank.org/ext/en/home,,,,
2001,Serbia,SRB,GDP (current US$),13599378662,https://www.worldbank.org/ext/en/home,,,,
2001,Slovenia,SVN,GDP (current US$),20668868707,https://www.worldbank.org/ext/en/home,,,,
2002,Albania,ALB,GDP (current US$),4348068242,https://www.worldbank.org/ext/en/home,,,,
2002,Bulgaria,BGR,GDP (current US$),16403043850,https://www.worldbank.org/ext/en/home,,,,
2002,Bosnia and Herzegovina,BIH,GDP (current US$),6728220887,https://www.worldbank.org/ext/en/home,,,,
2002,Euro area,EMU,GDP (current US$),7.24186E+12,https://www.worldbank.org/ext/en/home,,,,
2002,Croatia,HRV,GDP (current US$),26757722429,https://www.worldbank.org/ext/en/home,,,,
2002,North Macedonia,MKD,GDP (current US$),4018365747,https://www.worldbank.org/ext/en/home,,,,
2002,Montenegro,MNE,GDP (current US$),1284685051,https://www.worldbank.org/ext/en/home,,,,
2002,Serbia,SRB,GDP (current US$),17930583571,https://www.worldbank.org/ext/en/home,,,,
